Sample;Clusters;.15.F2t.IsoP;.15.keto.15.F2t.IsoP;.9.epi.15.F2t.IsoP;.5.F2t.IsoP;.5.epi.5.F2t.IsoP;.15.epi.15.E2t.IsoP;.15.E1t.IsoP;.8.F3t.IsoP;X.Tetranor.PGEM;X.Tetranor.PGAM;.15.keto.PGF2alpha;.11beta.PGF2alpha;X.PGDM;X.Tetranor.PGDM;X.PGE1
C+.1;INDUCTION;42.49;22.96;30.02;204.39;674.69;35.46;61.14;23.27;91.78;240.57;50.13;43.53;1063.61;22.27;21.92
C+.2;INDUCTION;41.15;23.54;19.53;172.34;584.49;28.73;58.86;19.53;82.98;203.21;52.79;53.59;993.74;11.03;16.12
C+.3;INDUCTION;37.67;23.54;23.74;194.52;547.22;29.22;61.07;18.08;63.09;142.62;52.59;51.36;1041.9;6.78;23.53
C+.4;INDUCTION;53.29;24.68;25.26;268.64;721.82;39.45;53.57;25.51;75.59;238.18;48.35;60.52;875.49;8.63;26.86
C+.5;INDUCTION;48.29;22.95;19;253.1;653.42;33.48;72.81;25.26;63.6;173.44;52.86;52.45;713.41;7.07;24.39
CA.1;INDUCTION;34.87;23.1;17.72;170.3;558.78;35.59;22.17;15.22;54.02;210.93;49.97;42.81;573.89;7.8;20.07
CA.2;INDUCTION;40;23.66;32.18;204.02;623.3;32.11;54.75;21.65;35.49;226.1;53.46;68.11;273.02;9.31;24.01
CA.3;INDUCTION;43.85;22.9;24.86;181.85;579.06;33.32;48.49;21.96;41.73;206.83;50.75;47.82;387.5;9.67;18.72
CA.4;INDUCTION;43.83;24.43;14.22;152.93;486.26;30.1;35.34;19.54;60.6;174.8;50.41;40.94;394.02;7.37;21.73
CA.5;INDUCTION;52.37;22.17;24.56;199.64;651.03;31.54;55.89;22.05;40.12;189.12;51.5;52.63;343.87;2.31;22.96
DHCA.1;ANTIINFLAMMATORIES;40.23;21.8;15.89;174.65;565.99;37.08;54.91;16.33;40.39;152.09;36.37;55.86;375.63;0;19.84
DHCA.2;ANTIINFLAMMATORIES;36.94;22.93;16.54;143.37;479.25;34.63;49.96;7.48;46.44;107.42;43.48;47.73;455.63;0;16.41
DHCA.3;DUAL EFFECT;26.13;22.64;14.74;130.28;323.11;31.54;28.43;12.41;48.13;150.4;35.57;27.07;480.78;0;11.47
DHCA.4;DUAL EFFECT;27.9;22.95;9.17;125.73;367.5;34.08;25.99;2.51;61.14;184.72;41.44;35.07;675.99;0;11.31
DHCA.5;ANTIINFLAMMATORIES;35.93;22.02;18.15;143.53;444.96;34.94;63.91;9.4;26.65;117.86;43.98;43.69;172.02;0;16.12
FA.1;DUAL EFFECT;22.3;22.01;2.07;81.45;260.73;15.63;3.58;13.56;44.1;192.82;31.71;18.67;404.88;0;9.94
FA.2;DUAL EFFECT;27.57;22.71;16.05;112.56;357.1;24.45;20.18;6.49;40.83;127.85;41.92;29.9;352.04;0;12.17
FA.3;DUAL EFFECT;37.66;22.13;12.34;136.99;444.86;22.92;26.28;12.02;28.3;137.98;43.64;39.65;177.74;0;16.22
